airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
Go Air,G8-327,06:00,Mumbai,02 hrs 05 mins ,08:05,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Go Air,G8-321,18:30,Mumbai,02 hrs 05 mins ,20:35,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Go Air,G8-326,20:25,Mumbai,02 hrs 05 mins ,22:30,New Delhi,"₹ 5,502",Non stop,2020-11-15,6,2020-11-09,0
Go Air,G8-322,21:35,Mumbai,02 hrs 05 mins ,23:40,New Delhi,"₹ 7,652",Non stop,2020-11-15,6,2020-11-09,0
Go Air,G8-513 | G8-768,06:00,Mumbai,06 hrs 40 mins ,12:40,New Delhi,"₹ 5,055",1 stop via Varanasi,2020-11-15,6,2020-11-09,0
Spicejet,SG-771 | SG-8129,10:50,Mumbai,10 hrs ,20:50,New Delhi,"₹ 5,055",1 stop via Chennai,2020-11-15,6,2020-11-09,0
Go Air,G8-513 | G8-416,06:00,Mumbai,12 hrs ,18:00,New Delhi,"₹ 5,502",1 stop via Varanasi,2020-11-15,6,2020-11-09,0
Spicejet,SG-323 | SG-8104,20:40,Mumbai,13 hrs 15 mins ,09:55+1 DAYArrival : New Delhi16 Nov 2020,New Delhi,"₹ 7,652",1 stop via Chennai,2020-11-15,6,2020-11-09,0
Go Air,G8-245 | G8-714,19:30,Mumbai,14 hrs 10 mins ,09:40+1 DAYArrival : New Delhi16 Nov 2020,New Delhi,"₹ 5,055",1 stop via Ahmedabad,2020-11-15,6,2020-11-09,0
Go Air,G8-511 | G8-403,19:00,Mumbai,15 hrs 40 mins ,10:40+1 DAYArrival : New Delhi16 Nov 2020,New Delhi,"₹ 5,055",1 stop via Varanasi,2020-11-15,6,2020-11-09,0
Vistara,UK-944,13:35,Mumbai,02 hrs 05 mins ,15:40,New Delhi,"₹ 5,502",Non stop,2020-11-15,6,2020-11-09,0
Vistara,UK-940,19:40,Mumbai,02 hrs 05 mins ,21:45,New Delhi,"₹ 7,652",Non stop,2020-11-15,6,2020-11-09,0
Vistara,UK-970,08:45,Mumbai,02 hrs 10 mins ,10:55,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Vistara,UK-910,17:00,Mumbai,02 hrs 10 mins ,19:10,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Vistara,UK-996,18:00,Mumbai,02 hrs 10 mins ,20:10,New Delhi,"₹ 5,502",Non stop,2020-11-15,6,2020-11-09,0
Air India,AI-866,07:00,Mumbai,02 hrs 15 mins ,09:15,New Delhi,"₹ 7,652",Non stop,2020-11-15,6,2020-11-09,0
Air India,AI-809,10:00,Mumbai,02 hrs 15 mins ,12:15,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Air India,AI-687,16:45,Mumbai,02 hrs 15 mins ,19:00,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Air India,AI-538,21:00,Mumbai,02 hrs 15 mins ,23:15,New Delhi,"₹ 10,029",Non stop,2020-11-15,6,2020-11-09,0
Vistara,UK-902,15:45,Mumbai,02 hrs 20 mins ,18:05,New Delhi,"₹ 15,858",Non stop,2020-11-15,6,2020-11-09,0
Spicejet,SG-790,15:15,Mumbai,02 hrs 05 mins ,17:20,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Spicejet,SG-8158,19:50,Mumbai,02 hrs 05 mins ,21:55,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-6284,14:15,Mumbai,02 hrs 10 mins ,16:25,New Delhi,"₹ 5,955",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-104,06:15,Mumbai,02 hrs 15 mins ,08:30,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
Spicejet,SG-8152,07:20,Mumbai,02 hrs 15 mins ,09:35,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-5047,07:40,Mumbai,02 hrs 15 mins ,09:55,New Delhi,"₹ 10,029",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-6374,09:40,Mumbai,02 hrs 15 mins ,11:55,New Delhi,"₹ 15,858",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-407,12:00,Mumbai,02 hrs 15 mins ,14:15,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-2036,18:35,Mumbai,02 hrs 15 mins ,20:50,New Delhi,"₹ 5,055",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-2174,21:15,Mumbai,02 hrs 25 mins ,23:40,New Delhi,"₹ 5,955",Non stop,2020-11-15,6,2020-11-09,0
IndiGo,6E-639 | 6E-858,19:40,Mumbai,04 hrs 30 mins ,00:10+1 DAYArrival : New Delhi16 Nov 2020,New Delhi,"₹ 5,055",1 stop via Ahmedabad,2020-11-15,6,2020-11-09,0
IndiGo,6E-5346 | 6E-2055,10:35,Mumbai,04 hrs 45 mins ,15:20,New Delhi,"₹ 5,055",1 stop via Aurangabad,2020-11-15,6,2020-11-09,0
IndiGo,6E-749 | 6E-5042,15:35,Mumbai,04 hrs 45 mins ,20:20,New Delhi,"₹ 10,218",1 stop via Udaipur,2020-11-15,6,2020-11-09,0
IndiGo,6E-5361 | 6E-5045,14:55,Mumbai,05 hrs 55 mins ,20:50,New Delhi,"₹ 15,541",1 stop via Hyderabad,2020-11-15,6,2020-11-09,0
IndiGo,6E-662 | 6E-6325,09:35,Mumbai,06 hrs ,15:35,New Delhi,"₹ 5,055",1 stop via Bhopal,2020-11-15,6,2020-11-09,0
IndiGo,6E-672 | 6E-306,09:05,Mumbai,06 hrs 20 mins ,15:25,New Delhi,"₹ 5,055",1 stop via Lucknow,2020-11-15,6,2020-11-09,0
IndiGo,6E-409 | 6E-5002,06:30,Mumbai,06 hrs 30 mins ,13:00,New Delhi,"₹ 10,029",1 stop via Hyderabad,2020-11-15,6,2020-11-09,0
IndiGo,6E-6328 | 6E-6684,15:45,Mumbai,06 hrs 50 mins ,22:35,New Delhi,"₹ 15,858",1 stop via Hyderabad,2020-11-15,6,2020-11-09,0
