airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
AirAsia,I5-302 | I5-741,05:50,Mumbai,09 hrs ,14:50,New Delhi,"₹ 3,500",1 stop via Bengaluru,2020-10-05,0,2020-10-04,6
AirAsia,I5-984 | I5-741,23:25,Mumbai,14 hrs 20 mins ,13:45+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 3,500",1 stop via Bengaluru,2020-10-05,0,2020-10-04,6
Go Air,G8-306 | G8-176,21:50,Mumbai,12 hrs 35 mins ,10:25+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 3,868",1 stop via Lucknow,2020-10-05,0,2020-10-04,6
Go Air,G8-349 | G8-406,09:00,Mumbai,13 hrs 45 mins ,22:45,New Delhi,"₹ 3,500",1 stop via Varanasi,2020-10-05,0,2020-10-04,6
IndiGo,6E-213 | 6E-2296,15:45,Mumbai,04 hrs 30 mins ,20:15,New Delhi,"₹ 3,500",1 stop via Ahmedabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-675 | 6E-6684,17:25,Mumbai,05 hrs 10 mins ,22:35,New Delhi,"₹ 3,868",1 stop via Hyderabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-578 | 6E-521,12:55,Mumbai,06 hrs 20 mins ,19:15,New Delhi,"₹ 3,501",1 stop via Varanasi,2020-10-05,0,2020-10-04,6
IndiGo,6E-6328 | 6E-6684,15:45,Mumbai,06 hrs 50 mins ,22:35,New Delhi,"₹ 3,501",1 stop via Hyderabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-213 | 6E-267,15:45,Mumbai,07 hrs 10 mins ,22:55,New Delhi,"₹ 7,384",1 stop via Ahmedabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-6117 | 6E-5045,12:00,Mumbai,08 hrs 50 mins ,20:50,New Delhi,"₹ 9,452",1 stop via Hyderabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-168 | 6E-2069,06:25,Mumbai,08 hrs 55 mins ,15:20,New Delhi,"₹ 3,501",1 stop via Indore,2020-10-05,0,2020-10-04,6
IndiGo,6E-6342 | 6E-2296,11:15,Mumbai,09 hrs ,20:15,New Delhi,"₹ 3,501",1 stop via Ahmedabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-6331 | 6E-665,05:55,Mumbai,10 hrs 25 mins ,16:20,New Delhi,"₹ 7,929",1 stop via Goa,2020-10-05,0,2020-10-04,6
IndiGo,6E-6117 | 6E-6684,12:00,Mumbai,10 hrs 35 mins ,22:35,New Delhi,"₹ 8,577",1 stop via Hyderabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-168 | 6E-6409,06:25,Mumbai,11 hrs 05 mins ,17:30,New Delhi,"₹ 3,797",1 stop via Indore,2020-10-05,0,2020-10-04,6
Go Air,G8-322,21:35,Mumbai,02 hrs 05 mins ,23:40,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Go Air,G8-327,05:45,Mumbai,02 hrs 20 mins ,08:05,New Delhi,"₹ 4,321",Non stop,2020-10-05,0,2020-10-04,6
Vistara,UK-960,11:15,Mumbai,02 hrs 05 mins ,13:20,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Vistara,UK-944,13:35,Mumbai,02 hrs 05 mins ,15:40,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Spicejet,SG-790,15:15,Mumbai,02 hrs 05 mins ,17:20,New Delhi,"₹ 4,321",Non stop,2020-10-05,0,2020-10-04,6
Vistara,UK-940,19:40,Mumbai,02 hrs 05 mins ,21:45,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Vistara,UK-994,09:45,Mumbai,02 hrs 10 mins ,11:55,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Vistara,UK-910,17:00,Mumbai,02 hrs 10 mins ,19:10,New Delhi,"₹ 4,321",Non stop,2020-10-05,0,2020-10-04,6
Vistara,UK-996,18:00,Mumbai,02 hrs 10 mins ,20:10,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Spicejet,SG-8158,19:30,Mumbai,02 hrs 10 mins ,21:40,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Air India,AI-866,07:00,Mumbai,02 hrs 15 mins ,09:15,New Delhi,"₹ 4,321",Non stop,2020-10-05,0,2020-10-04,6
Spicejet,SG-8152,07:20,Mumbai,02 hrs 15 mins ,09:35,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Vistara,UK-970,08:45,Mumbai,02 hrs 15 mins ,11:00,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Air India,AI-809,10:00,Mumbai,02 hrs 15 mins ,12:15,New Delhi,"₹ 4,321",Non stop,2020-10-05,0,2020-10-04,6
Air India,AI-687,16:45,Mumbai,02 hrs 15 mins ,19:00,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
Air India,AI-538,21:00,Mumbai,02 hrs 15 mins ,23:15,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
IndiGo,6E-6374,09:50,Mumbai,02 hrs 05 mins ,11:55,New Delhi,"₹ 4,321",Non stop,2020-10-05,0,2020-10-04,6
IndiGo,6E-5047,08:05,Mumbai,02 hrs 10 mins ,10:15,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
IndiGo,6E-497,21:10,Mumbai,02 hrs 10 mins ,23:20,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
IndiGo,6E-6284,15:50,Mumbai,02 hrs 15 mins ,18:05,New Delhi,"₹ 4,321",Non stop,2020-10-05,0,2020-10-04,6
IndiGo,6E-439,18:35,Mumbai,02 hrs 15 mins ,20:50,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
IndiGo,6E-104,06:15,Mumbai,02 hrs 20 mins ,08:35,New Delhi,"₹ 3,797",Non stop,2020-10-05,0,2020-10-04,6
IndiGo,6E-179 | 6E-637,12:35,Mumbai,05 hrs 25 mins ,18:00,New Delhi,"₹ 4,321",1 stop via Goa,2020-10-05,0,2020-10-04,6
IndiGo,6E-179 | 6E-276,12:35,Mumbai,07 hrs 50 mins ,20:25,New Delhi,"₹ 3,797",1 stop via Goa,2020-10-05,0,2020-10-04,6
IndiGo,6E-6331 | 6E-637,05:55,Mumbai,12 hrs 05 mins ,18:00,New Delhi,"₹ 3,797",1 stop via Goa,2020-10-05,0,2020-10-04,6
Spicejet,SG-279 | SG-2645,11:55,Mumbai,20 hrs 15 mins ,08:10+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,321",1 stop via Jaipur,2020-10-05,0,2020-10-04,6
IndiGo,6E-749 | 6E-5042,15:35,Mumbai,04 hrs 55 mins ,20:30,New Delhi,"₹ 3,797",1 stop via Udaipur,2020-10-05,0,2020-10-04,6
IndiGo,6E-5317 | 6E-5004,14:00,Mumbai,05 hrs 45 mins ,19:45,New Delhi,"₹ 3,797",1 stop via Lucknow,2020-10-05,0,2020-10-04,6
IndiGo,6E-5325 | 6E-134,09:50,Mumbai,07 hrs 55 mins ,17:45,New Delhi,"₹ 4,321",1 stop via Nagpur,2020-10-05,0,2020-10-04,6
IndiGo,6E-5011 | 6E-306,06:15,Mumbai,09 hrs 10 mins ,15:25,New Delhi,"₹ 3,797",1 stop via Lucknow,2020-10-05,0,2020-10-04,6
Spicejet,SG-704 | SG-988,06:40,Mumbai,14 hrs 45 mins ,21:25,New Delhi,"₹ 3,797",1 stop via Varanasi,2020-10-05,0,2020-10-04,6
Spicejet,SG-284 | SG-8706,16:20,Mumbai,21 hrs 30 mins ,13:50+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,321",1 stop via Bengaluru,2020-10-05,0,2020-10-04,6
Air India,AI-613 | AI-851,06:00,Mumbai,05 hrs 40 mins ,11:40,New Delhi,"₹ 4,005",1 stop via Ahmedabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-639 | 6E-244 | 6E-306,19:35,Mumbai,19 hrs 50 mins ,15:25+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,005","2 stop via Ahmedabad,Lucknow",2020-10-05,0,2020-10-04,6
IndiGo,6E-639 | 6E-244 | 6E-2425,19:35,Mumbai,22 hrs 35 mins ,18:10+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,452","2 stop via Ahmedabad,Lucknow",2020-10-05,0,2020-10-04,6
"Go Air, IndiGo",G8-322 | G8-715 | 6E-2045,21:35,Mumbai,15 hrs 55 mins ,13:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 7,652","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Go Air, IndiGo",G8-322 | G8-715 | 6E-2296,21:35,Mumbai,22 hrs 40 mins ,20:15+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,005","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Go Air, Air India",G8-322 | G8-715 | AI-851,21:35,Mumbai,14 hrs 05 mins ,11:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,005","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Go Air, Vistara",G8-322 | G8-715 | UK-976,21:35,Mumbai,14 hrs 55 mins ,12:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,452","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"Go Air, Vistara",G8-322 | G8-715 | UK-966,21:35,Mumbai,22 hrs 55 mins ,20:30+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 7,652","2 stop via New Delhi,Ahmedabad",2020-10-05,0,2020-10-04,6
"IndiGo, Go Air",6E-639 | G8-532 | G8-176,19:35,Mumbai,14 hrs 50 mins ,10:25+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006","2 stop via Ahmedabad,Lucknow",2020-10-05,0,2020-10-04,6
"IndiGo, Spicejet",6E-639 | SG-8194,19:35,Mumbai,12 hrs 10 mins ,07:45+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006",1 stop via Ahmedabad,2020-10-05,0,2020-10-04,6
IndiGo,6E-639 | 6E-554,19:35,Mumbai,13 hrs 10 mins ,08:45+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,531",1 stop via Ahmedabad,2020-10-05,0,2020-10-04,6
"IndiGo, Go Air",6E-639 | G8-714,19:35,Mumbai,14 hrs ,09:35+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 6,211",1 stop via Ahmedabad,2020-10-05,0,2020-10-04,6
Go Air,G8-322 | G8-715 | G8-537 | G8-322,21:35,Mumbai,26 hrs 05 mins ,23:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 6,770","3 stop via New Delhi,Ahmedabad,Mumbai",2020-10-05,0,2020-10-04,6
Go Air,G8-322 | G8-715 | G8-537 | G8-327,21:35,Mumbai,34 hrs 30 mins ,08:05+2 DAYArrival : New Delhi07 Oct 2020,New Delhi,"₹ 4,006","3 stop via New Delhi,Ahmedabad,Mumbai",2020-10-05,0,2020-10-04,6
Go Air,G8-397 | G8-176,06:30,Mumbai,03 hrs 55 mins ,10:25,New Delhi,"₹ 4,006",1 stop via Lucknow,2020-10-05,0,2020-10-04,6
